1400 3
7 18 3 
16 20 1
0 3 1
1 5 3
6 10 2
12 14 3
17 21 1
16 19 3
0 3 3
4 7 2
1 5 3
15 18 1
23 3 1
7 9 2
5 9 1
2 4 3
23 3 2
14 15 3
19 23 2
22 23 3
12 17 1
1 5 2
17 21 3
6 11 1
5 8 1
5 7 3
9 12 3
23 2 3
17 19 1
0 2 2
17 19 1
1 4 2
0 4 3
11 12 1
16 19 1
1 5 3
3 7 3
11 14 1
15 16 3
22 1 3
3 6 2
21 2 2
9 12 1
16 21 2
3 5 3
3 5 2
21 1 1
8 10 1
17 20 3
9 13 1
9 11 1
11 14 1
0 5 2
13 15 3
7 10 1
15 15 2
15 17 2
8 11 3
1 3 3
4 6 1
15 19 1
19 23 3
4 8 2
17 20 1
7 10 2
2 4 2
1 6 2
7 10 1
9 11 2
18 22 1
11 15 1
1 6 2
22 1 1
13 17 1
3 7 1
13 17 3
19 0 1
12 15 1
4 7 1
4 8 2
21 0 3
17 20 3
15 17 3
12 14 2
3 6 3
8 11 2
14 17 1
4 9 1
12 16 1
23 3 3
7 10 2
17 19 3
8 10 1
5 9 2
8 12 3
6 9 2
9 12 2
8 10 2
22 0 3
12 13 1
7 10 1
17 20 3
8 12 1
8 11 1
3 7 2
21 1 2
17 20 2
21 0 1
1 4 2
14 18 3
8 9 1
1 2 1
18 21 2
15 17 2
7 9 1
0 2 1
16 19 3
6 7 3
15 20 2
21 0 3
7 10 1
22 0 3
12 16 2
21 22 1
19 0 1
5 7 2
16 19 1
13 16 3
21 23 2
15 16 2
3 6 2
8 13 3
17 20 2
22 3 3
22 1 1
2 3 2
17 21 3
6 8 1
12 14 2
12 15 2
9 11 2
1 2 2
11 13 3
2 3 2
13 15 1
23 2 3
6 9 2
6 9 3
10 14 3
10 12 1
18 19 3
19 23 1
1 5 3
18 19 3
15 17 2
4 7 1
19 22 2
18 23 1
22 4 1
0 5 2
15 16 3
22 1 2
12 15 1
15 18 3
20 23 3
19 23 3
2 6 2
4 5 3
23 3 2
19 21 2
13 18 2
18 22 2
19 22 3
20 23 3
2 7 2
21 2 2
3 8 3
21 23 2
1 4 3
7 11 2
19 20 2
14 18 3
5 7 1
12 16 2
12 15 1
7 8 3
22 23 3
13 17 3
15 19 2
19 22 1
19 22 1
7 8 1
12 15 2
15 20 1
18 21 2
20 21 1
8 11 3
22 1 2
19 22 3
9 13 1
14 18 1
0 3 1
13 16 1
22 1 3
0 2 3
1 5 2
0 3 3
16 18 1
22 3 3
14 17 3
7 10 3
14 18 3
0 4 1
6 8 2
1 6 2
17 20 1
23 4 3
6 9 3
15 16 1
15 18 3
7 9 2
6 10 3
19 23 1
2 3 2
19 22 2
13 16 1
20 0 1
15 19 1
18 21 1
20 23 1
11 13 2
12 13 3
5 7 3
23 3 3
17 20 1
21 0 2
9 11 2
2 5 2
8 12 2
5 9 2
20 23 2
12 17 2
22 2 1
23 0 2
2 4 3
18 22 2
2 5 1
7 11 2
14 15 1
2 5 1
18 23 2
6 8 3
9 13 2
11 13 2
17 20 1
2 5 1
21 22 1
3 7 2
1 6 3
4 6 1
18 19 2
22 23 1
5 9 3
11 13 3
21 23 2
16 19 2
23 2 1
1 5 3
13 14 2
19 23 3
2 5 3
12 16 3
23 4 3
9 13 3
13 15 1
10 11 2
12 16 1
12 16 3
22 23 3
6 10 1
9 10 2
19 23 2
21 1 3
7 11 1
3 7 2
21 0 1
19 23 3
16 19 3
