700 3
16 15 3 
15 17 2
2 4 1
9 16 3
10 13 3
8 12 2
22 1 1
22 1 2
22 2 1
3 7 3
16 17 2
1 5 1
11 13 3
5 10 2
23 2 1
9 14 1
18 20 3
21 1 2
20 21 3
3 5 1
15 19 1
13 15 2
23 1 1
5 8 3
5 9 3
16 21 3
23 1 3
16 20 1
12 15 1
6 10 3
23 1 3
23 3 1
12 16 3
2 4 1
18 21 1
23 0 2
22 3 3
23 3 1
7 10 2
9 13 3
0 2 2
9 13 3
1 6 2
17 19 1
5 7 3
9 13 2
21 22 3
10 13 1
17 21 2
18 20 3
18 20 3
14 17 2
13 17 1
12 14 1
12 15 1
22 1 3
4 7 1
8 10 3
9 12 3
1 5 1
17 20 3
18 23 3
17 21 1
12 16 2
11 14 3
9 11 2
5 8 3
21 0 2
14 16 1
11 15 1
10 13 2
18 21 1
0 4 2
19 22 3
8 10 1
14 18 1
2 4 1
6 8 2
13 14 1
17 20 3
13 15 3
3 7 3
17 20 2
15 20 2
19 23 1
16 19 3
9 12 1
11 15 2
0 3 3
14 15 2
20 0 3
5 9 3
8 11 3
18 21 3
9 12 2
21 23 2
0 2 3
0 2 2
12 16 1
22 2 3
2 6 2
9 12 3
13 16 2
4 5 3
23 4 3
7 11 2
11 15 1
11 16 1
22 1 2
4 9 3
13 17 1
3 6 3
0 2 3
22 2 3
2 6 3
15 16 3
2 5 3
23 3 3
4 7 1
3 6 2
6 9 3
3 6 2
21 0 3
22 1 2
17 20 1
9 13 2
19 22 1
19 22 3
0 3 3
23 2 3
2 3 1
5 9 1
22 1 3
0 3 3
2 5 2
21 1 3
18 21 1
10 14 3
7 9 2
16 18 2
5 6 2
1 5 3
18 21 1
12 15 1
7 9 1
22 1 2
21 22 2
23 2 3
3 7 3
4 7 2
20 23 2
3 6 3
21 2 1
4 8 1
19 22 1
21 0 3
7 8 1
11 16 3
9 13 1
13 15 1
7 10 3
8 10 2
14 17 1
6 11 2
15 17 2
1 3 1
21 1 3
14 17 1
14 18 1
12 15 2
10 13 3
8 11 3
14 16 3
18 23 2
15 18 2
11 13 2
4 8 2
7 10 1
13 16 1
20 23 2
15 17 1
3 6 2
13 14 2
1 2 3
5 8 1
13 15 2
0 1 1
15 18 3
7 11 1
19 21 2
2 4 1
13 16 3
18 21 3
6 8 2
22 1 3
1 4 2
10 12 3
9 12 1
6 8 1
11 14 1
19 23 3
4 8 2
22 23 2
3 7 1
13 16 1
8 13 1
10 14 1
0 4 1
1 4 3
22 3 1
1 4 2
13 16 1
15 18 1
21 0 3
2 2 2
