200 3
3 18 8 
2 3 2
16 18 2
12 14 2
11 15 3
0 2 1
5 10 2
19 22 2
6 7 3
17 19 3
14 18 2
7 9 3
23 0 1
5 7 3
3 6 1
0 2 2
5 7 1
14 16 2
20 0 3
17 19 2
23 2 3
5 9 3
9 13 2
22 2 2
8 12 3
5 9 1
18 21 1
19 21 2
19 21 3
7 10 2
17 19 1
2 6 2
11 12 2
0 5 2
2 6 1
20 0 3
22 0 1
5 8 3
12 14 2
2 5 1
2 6 2
16 19 2
3 6 2
14 16 1
17 21 3
2 6 3
22 1 3
3 6 1
6 11 2
19 23 1
7 10 2
13 14 3
3 6 2
15 19 3
12 16 2
13 15 2
20 0 2
15 19 3
20 20 2
1 3 1
3 5 2
22 1 1
10 12 1
1 4 1
12 15 3
11 13 3
11 13 3
10 13 3
18 19 2
20 22 3
17 19 2
22 3 1
18 22 2
5 9 3
5 7 2
23 1 3
5 8 3
14 18 2
4 5 2
7 9 1
22 0 3
19 22 3
0 3 2
16 20 2
6 10 1
10 13 1
0 4 1
15 19 1
16 19 1
7 11 1
12 17 2
5 7 3
19 1 1
20 23 1
4 8 3
18 22 1
13 17 2
17 21 1
22 1 3
2 6 3
10 14 1
19 21 1
22 23 1
12 15 3
5 8 3
20 23 1
10 12 2
21 1 1
21 22 2
21 0 3
7 11 3
21 22 1
10 13 2
12 15 2
15 17 1
12 14 1
0 4 1
5 9 2
15 18 2
3 6 2
9 12 1
18 19 1
22 2 3
7 9 2
8 9 2
10 13 3
19 1 2
11 14 1
21 0 2
1 3 2
13 18 2
17 20 3
15 19 1
4 8 1
10 13 1
6 10 1
10 11 2
21 0 2
13 15 1
11 14 3
6 8 3
6 9 3
15 19 3
17 21 3
23 2 2
17 19 3
22 2 3
18 22 2
14 15 1
2 6 3
9 13 3
20 23 3
13 17 3
11 13 1
5 9 1
3 8 3
12 15 2
11 15 2
3 5 3
18 21 1
17 18 2
1 4 3
17 21 2
18 22 2
1 5 3
9 12 2
17 21 3
12 16 2
20 22 2
2 5 3
11 15 1
20 23 2
17 20 1
19 22 3
21 23 1
10 13 1
17 20 2
10 13 3
0 4 2
14 17 2
16 20 1
0 3 2
1 4 3
15 19 3
14 17 2
22 2 2
23 1 2
10 15 2
3 6 3
1 5 1
21 1 3
17 22 3
6 8 2
9 11 2
23 3 1
11 14 3
6 10 3
0 4 1
19 23 1
4 7 2
10 13 1
