800 3
23 6 5 
2 6 1
20 22 1
9 12 3
1 4 3
2 8 2
14 14 1
3 3 1
21 0 3
9 12 3
0 3 1
2 5 1
1 5 1
5 9 3
6 8 3
8 10 2
2 7 1
16 20 1
2 7 1
17 19 3
2 5 2
9 12 2
5 10 3
8 13 3
5 7 1
13 16 1
12 14 3
20 23 3
2 6 3
15 19 3
10 13 3
11 15 1
9 15 1
7 10 1
15 17 2
12 14 1
23 1 2
2 6 1
23 2 3
11 14 2
11 13 1
16 19 2
2 3 3
10 14 1
14 17 3
17 20 1
22 0 1
0 2 2
6 9 1
22 2 3
8 13 1
21 0 1
9 14 3
22 2 2
11 14 1
20 20 3
11 15 2
18 22 3
1 4 3
7 10 2
4 6 3
9 13 2
13 17 3
10 13 1
22 0 1
11 14 2
23 1 2
4 6 3
9 11 1
4 9 1
14 17 2
19 22 1
15 17 3
20 0 1
6 9 3
6 10 1
21 0 2
13 15 1
14 18 3
7 11 1
7 10 1
16 18 3
7 10 2
18 21 3
20 21 2
8 10 3
1 3 1
3 5 2
14 18 3
18 20 3
23 3 1
6 9 1
17 19 2
17 21 1
1 6 1
23 0 3
4 7 2
8 12 1
6 10 2
13 14 1
23 0 1
20 1 2
8 12 1
12 14 2
6 9 2
15 18 2
1 4 2
1 3 1
2 5 2
6 10 2
22 0 3
1 3 3
5 8 1
2 6 2
5 9 1
22 0 2
8 8 3
3 7 1
14 17 1
18 22 3
12 14 3
12 16 2
5 9 3
7 9 2
21 0 1
3 4 2
4 7 2
7 8 2
22 1 3
2 5 2
2 6 1
2 6 2
1 4 1
12 16 2
14 16 1
16 20 3
23 4 3
12 15 3
23 2 1
11 14 3
23 2 3
11 15 2
1 4 2
0 3 3
22 1 2
1 4 2
16 20 2
2 5 3
12 13 3
23 3 2
22 1 2
10 14 1
18 23 1
2 6 3
20 23 2
4 7 1
18 21 2
6 9 1
9 13 1
16 20 3
9 13 2
12 16 3
2 6 1
18 21 2
21 0 3
6 9 3
11 13 2
7 10 1
15 17 3
22 1 2
4 8 2
0 3 1
16 19 1
13 17 2
7 8 3
3 5 1
3 5 1
0 4 3
5 6 3
21 1 1
16 19 1
3 6 1
18 21 2
3 5 3
14 17 3
9 11 3
7 11 3
12 15 1
10 12 1
7 11 2
2 5 3
3 5 3
20 22 1
17 19 2
0 2 2
21 0 3
21 0 3
20 0 3
3 6 1
5 8 2
19 22 2
2 6 2
13 15 2
14 17 2
11 14 2
10 15 2
22 2 3
14 20 2
18 21 2
19 20 1
22 3 3
13 16 1
20 0 2
17 20 1
16 20 3
18 21 2
8 13 1
18 20 1
5 8 3
2 6 1
0 3 3
15 19 3
19 22 2
0 4 1
16 20 1
8 12 3
0 4 1
12 15 3
12 14 1
12 16 2
16 18 1
13 16 1
16 20 3
18 20 3
12 17 2
8 10 1
9 13 2
6 10 3
19 21 1
14 17 1
14 17 3
8 14 1
10 12 2
10 14 2
21 0 1
17 18 3
22 0 2
7 10 3
1 4 2
22 0 2
23 2 1
13 15 3
4 7 3
3 7 1
17 18 3
17 18 2
10 14 3
11 14 2
2 5 3
4 6 1
16 19 2
22 2 1
17 20 3
6 11 1
19 23 3
17 19 3
18 19 1
17 20 2
8 9 3
2 5 2
3 7 1
18 19 3
5 8 1
0 4 2
22 0 3
11 16 1
10 14 3
18 20 1
14 16 2
9 13 1
14 16 2
17 20 3
9 11 2
18 22 2
9 11 1
7 11 1
1 4 1
14 16 1
23 2 1
3 5 2
13 14 2
20 0 2
20 22 3
5 9 2
6 8 1
4 7 1
4 8 1
6 7 3
4 6 2
4 6 2
3 5 2
18 23 3
9 12 3
2 5 2
14 16 2
23 3 2
5 7 1
14 16 1
7 10 2
13 14 3
3 3 1
10 13 3
1 4 2
0 4 1
22 1 3
23 2 3
20 23 3
7 10 3
14 15 3
2 4 3
16 17 3
14 18 2
21 23 2
17 20 1
2 5 1
10 11 3
17 20 2
6 11 3
21 23 3
9 12 1
23 1 3
7 10 1
13 17 3
13 16 1
23 3 2
17 21 1
13 16 1
0 3 1
8 11 2
5 6 2
22 23 2
5 9 2
19 23 3
2 4 1
23 4 1
16 20 2
1 5 1
23 0 3
13 17 3
6 10 3
18 22 3
11 15 3
20 22 2
23 1 3
15 17 3
2 3 1
22 0 1
3 7 2
8 11 1
23 2 1
2 5 3
8 9 3
4 7 2
1 5 2
16 19 2
15 19 2
7 11 2
4 6 3
14 18 3
14 17 3
18 21 1
8 12 1
15 19 3
15 18 3
17 19 3
20 0 1
14 18 1
12 15 3
8 10 1
18 20 2
9 10 2
17 19 3
14 16 2
15 18 3
11 16 3
15 17 2
18 22 3
18 20 2
17 19 2
8 12 1
22 4 1
12 16 1
11 14 3
13 16 1
21 1 2
13 15 3
10 14 2
3 6 3
12 16 2
7 10 2
14 16 2
5 8 3
3 6 1
18 20 2
23 2 1
20 23 2
4 5 3
19 22 1
5 8 2
0 2 2
11 15 3
10 13 2
20 0 3
21 23 1
22 1 1
17 20 3
10 12 3
1 4 3
5 9 3
