1000 3
5 23 23 
16 19 2
19 21 1
1 6 2
10 13 2
2 5 3
15 16 1
20 0 2
2 4 2
7 10 1
12 16 1
21 0 2
21 2 2
7 11 1
0 4 1
15 19 1
21 1 2
23 1 3
2 5 3
2 4 1
8 11 3
5 7 1
8 11 3
13 15 3
4 6 1
17 23 2
3 5 2
5 9 1
4 7 1
20 22 1
4 6 1
12 15 2
4 8 2
20 22 1
21 23 3
17 18 3
3 5 3
9 12 3
9 13 2
19 23 2
22 1 2
0 5 2
20 22 1
4 8 3
17 20 3
12 14 1
18 19 1
12 15 1
20 0 3
16 20 3
13 15 2
11 15 1
10 12 3
16 19 3
14 17 3
13 17 2
21 0 3
5 7 1
14 18 2
0 3 2
3 5 2
0 1 1
12 13 3
6 8 2
18 20 3
15 19 3
18 20 3
17 21 1
21 1 1
19 0 2
3 5 3
2 4 3
5 8 2
19 22 3
15 20 3
9 11 1
17 21 1
17 22 3
12 12 2
23 0 3
7 12 2
0 4 2
13 15 1
14 17 1
2 5 2
17 20 1
9 12 3
22 2 2
0 1 2
15 18 3
1 4 1
10 12 3
18 21 3
23 4 2
14 16 3
19 1 3
13 17 2
8 11 1
18 22 3
22 3 1
16 19 3
6 9 3
12 15 1
20 0 1
20 23 2
18 20 1
1 3 3
20 0 2
0 3 1
16 18 3
21 0 3
14 18 3
3 5 3
22 0 2
11 15 3
8 9 1
15 17 3
1 5 3
11 14 2
2 6 1
1 4 2
21 22 2
5 8 2
18 21 2
21 22 3
21 2 3
9 12 1
8 9 3
12 14 3
7 10 2
2 5 2
14 18 3
7 11 2
4 6 2
16 19 1
5 8 2
20 0 1
19 20 3
4 8 1
17 20 2
7 10 3
9 13 3
5 8 3
12 15 3
4 7 3
6 10 3
13 17 3
5 5 3
7 12 2
18 20 1
9 13 3
23 2 3
15 18 1
22 2 3
13 16 3
20 22 1
1 5 2
12 14 3
5 9 1
0 4 1
12 15 3
16 19 3
16 18 2
15 18 1
19 21 1
18 21 1
9 13 1
5 8 2
0 2 1
6 9 1
23 1 2
6 10 2
1 2 3
5 8 1
4 7 1
15 18 1
10 15 1
11 13 1
8 11 1
10 12 3
3 4 3
18 21 2
15 18 1
20 21 1
15 18 2
21 1 3
17 21 2
5 7 3
3 7 3
9 13 1
10 13 2
2 4 1
19 21 2
17 21 3
13 18 2
9 10 1
2 7 3
12 15 3
5 7 2
16 19 2
7 11 3
23 3 1
12 15 2
7 9 2
10 12 1
15 18 1
12 15 2
17 21 3
11 15 3
18 19 2
18 22 2
8 10 3
3 6 1
14 17 1
20 21 2
0 5 3
18 0 1
12 14 2
19 23 2
5 8 3
10 14 1
18 23 2
14 19 3
18 21 1
17 21 2
3 7 3
14 18 2
6 10 1
9 13 1
13 18 2
8 9 2
1 5 1
18 21 3
17 21 1
20 23 2
14 16 2
19 21 1
17 19 1
13 16 2
22 2 3
21 23 3
14 16 3
19 23 1
0 2 3
15 18 3
15 18 2
14 17 1
6 11 3
20 21 1
3 6 3
18 19 3
13 16 1
0 4 2
23 2 3
20 23 1
16 20 3
5 8 2
4 7 2
11 14 1
13 15 2
2 5 1
15 18 2
9 12 1
5 6 1
5 8 1
1 4 2
19 22 3
19 23 2
16 20 2
15 17 2
2 5 2
3 4 2
14 17 2
10 12 3
9 11 1
2 6 1
2 5 3
17 20 3
6 10 3
12 15 2
5 6 3
22 2 2
15 17 1
12 15 1
23 1 1
12 18 3
0 2 2
4 9 1
5 9 1
6 9 2
3 7 1
8 10 2
18 20 1
19 20 1
17 22 2
9 13 1
0 1 1
22 0 1
17 19 1
10 12 2
8 12 3
15 18 1
18 21 1
14 17 1
14 17 3
14 18 2
19 20 3
21 23 3
15 18 2
0 3 1
6 12 1
16 19 3
6 9 1
6 8 2
16 19 2
1 1 2
6 8 3
19 21 1
10 13 2
19 21 2
12 13 2
1 4 2
19 21 3
22 0 1
7 9 3
7 7 3
14 17 1
16 20 1
0 2 3
14 17 2
18 20 3
2 6 2
15 17 3
16 20 2
17 19 1
11 14 3
19 21 1
8 11 3
20 23 3
23 2 2
18 20 2
15 20 3
16 18 1
0 3 1
7 9 3
9 13 2
18 21 1
8 10 1
3 6 3
4 7 3
10 13 2
15 18 2
18 20 1
7 10 2
20 22 3
13 14 2
14 18 3
20 0 2
2 7 1
6 8 1
21 0 3
19 23 2
3 6 3
22 1 2
3 5 3
1 4 1
7 10 3
6 9 3
6 9 1
8 10 3
6 9 1
8 10 3
7 11 3
14 16 3
5 9 2
2 5 2
4 6 2
21 1 1
8 11 3
11 13 1
5 8 2
7 10 1
2 4 2
17 20 3
5 8 2
21 1 2
9 14 3
2 6 2
21 0 3
20 22 2
1 4 3
21 23 2
10 15 2
5 10 1
9 12 2
15 18 1
2 5 3
6 10 2
11 14 2
4 6 3
13 17 2
17 20 1
8 12 3
8 8 3
11 14 1
0 6 2
22 0 3
20 22 2
8 11 1
21 1 1
2 6 1
19 23 1
9 12 1
7 10 1
16 20 2
16 17 2
23 2 3
18 21 2
2 6 2
23 3 2
18 21 2
18 21 1
9 13 1
10 14 3
10 12 3
0 4 2
4 6 2
14 16 2
13 15 1
15 18 3
22 23 1
4 7 2
11 13 2
20 23 1
2 5 3
23 1 3
5 9 3
18 22 2
7 8 3
21 0 2
17 20 2
10 13 1
13 16 3
16 20 1
18 21 1
8 10 2
1 5 1
17 20 3
5 6 2
10 13 3
0 1 2
14 18 2
11 14 2
8 12 1
15 19 3
4 7 3
20 22 3
12 16 3
22 2 1
16 18 2
12 15 3
18 22 3
1 3 1
11 16 2
4 8 2
4 8 2
4 8 2
9 13 1
23 2 2
13 16 1
3 6 1
19 21 2
4 7 3
14 16 1
5 8 2
23 2 3
21 23 3
12 15 3
22 0 2
19 21 1
6 7 2
11 15 2
14 16 2
12 15 2
0 3 2
1 5 2
18 20 1
9 13 2
11 15 1
23 1 3
20 23 3
1 5 1
17 19 1
21 22 2
22 23 2
3 6 3
7 9 3
11 14 1
20 23 2
20 23 2
12 15 1
20 1 3
15 16 3
17 19 1
2 3 1
12 17 1
12 15 2
8 11 1
12 14 3
3 5 3
23 1 2
9 14 2
8 12 2
9 14 3
14 17 1
12 15 2
16 18 2
0 2 2
17 19 3
13 17 1
16 19 1
21 1 1
11 12 1
16 18 3
0 3 2
2 5 3
3 8 3
13 17 2
18 23 2
8 10 3
18 20 2
15 20 1
22 2 3
15 16 2
16 19 1
4 5 2
21 1 1
4 6 2
21 1 2
2 7 2
7 10 1
13 17 3
13 16 3
21 1 3
17 19 3
11 14 3
20 21 2
17 21 1
18 21 3
6 9 3
10 12 3
19 22 1
7 11 3
4 6 1
23 3 3
21 23 3
6 8 1
11 16 3
13 14 2
20 2 2
21 0 1
18 19 3
11 14 2
16 19 3
11 14 2
3 4 2
11 14 2
0 2 3
15 17 2
17 20 1
7 10 1
10 12 2
3 6 3
14 18 2
15 18 2
1 2 2
23 3 2
6 8 2
0 4 2
11 12 3
12 15 1
22 2 1
17 20 1
0 2 3
19 20 3
11 13 2
17 20 2
20 23 1
22 0 3
0 2 3
12 14 1
13 16 1
12 16 3
12 16 2
16 19 2
1 3 3
10 13 1
13 17 2
23 0 3
9 11 2
13 16 1
23 2 2
15 17 3
22 1 2
14 17 1
4 6 1
14 16 3
22 0 1
13 14 2
0 4 1
20 23 1
12 16 2
5 9 1
0 3 2
11 13 1
12 17 1
6 8 2
22 1 2
7 10 2
2 6 3
13 16 1
8 10 3
17 20 2
20 22 2
13 17 1
10 13 3
16 17 1
4 6 3
4 7 1
9 14 3
13 18 1
13 16 3
19 22 1
12 14 2
3 8 3
19 23 1
3 6 1
7 10 1
19 22 3
19 20 2
11 13 1
18 21 2
14 17 3
12 16 3
22 2 2
5 9 2
14 15 3
11 13 1
5 8 2
1 3 1
2 5 3
7 11 3
21 2 1
3 5 3
2 7 1
15 18 2
18 21 3
23 2 2
15 17 2
23 2 3
10 14 2
13 16 1
11 13 3
1 3 2
4 7 1
6 9 1
13 17 1
20 20 3
