600 2
24 5 
13 18 2
4 6 2
5 8 1
2 5 1
11 16 2
4 7 2
0 3 1
4 7 1
14 15 2
15 19 2
15 17 1
5 9 2
5 9 2
1 5 1
10 15 1
21 23 2
11 14 1
5 7 2
3 4 2
10 13 2
20 22 2
17 19 1
11 14 1
8 12 1
20 23 2
19 22 1
12 16 2
15 17 2
13 17 1
15 16 2
17 19 1
20 23 1
11 14 2
11 14 1
12 16 1
13 17 1
7 10 2
16 20 2
17 21 1
0 2 2
9 14 1
5 7 2
9 12 1
7 11 2
0 3 1
15 18 1
12 13 1
9 12 1
23 1 1
20 23 2
3 7 1
15 19 2
5 7 2
7 10 2
17 20 1
10 13 1
12 14 1
16 19 1
15 19 1
9 11 2
3 6 2
2 6 1
16 18 2
3 6 1
8 11 2
2 6 2
10 14 2
21 23 2
20 22 2
5 8 2
8 12 1
9 14 1
15 17 2
5 8 2
23 2 1
7 10 2
7 10 2
17 20 1
11 15 2
10 12 1
0 3 2
14 17 1
1 2 2
4 8 2
19 22 1
16 18 2
14 15 1
23 2 2
0 4 1
6 8 1
8 12 2
14 19 2
23 4 1
12 15 1
23 3 2
6 12 1
13 16 1
2 7 2
0 3 2
10 14 1
12 15 1
6 9 2
16 20 2
4 5 1
19 23 2
14 17 2
19 23 1
6 10 2
17 20 1
18 21 2
3 7 1
19 23 1
23 2 1
0 3 1
22 1 1
9 14 1
23 2 2
21 22 2
16 17 2
8 12 1
7 12 1
7 11 1
6 7 1
17 20 1
10 11 1
23 3 1
10 13 1
13 16 2
12 15 1
22 0 1
14 17 1
17 20 1
20 23 1
16 19 2
3 6 2
16 18 1
10 13 1
20 0 2
8 10 1
3 7 2
10 13 2
2 3 1
2 3 2
8 11 2
15 19 1
9 11 1
23 2 1
11 15 1
19 22 1
23 1 1
8 12 2
8 10 2
15 18 1
4 8 2
3 7 1
16 21 2
1 3 2
12 15 2
17 20 2
7 10 1
14 17 1
12 16 2
3 6 1
1 3 2
7 10 1
12 16 1
6 8 1
21 1 1
21 1 1
11 14 1
6 10 1
3 5 1
10 12 1
9 12 1
10 11 2
5 7 2
15 17 2
18 22 1
13 16 2
22 2 1
6 10 2
2 4 2
6 10 1
16 19 1
1 4 2
23 2 1
7 11 1
17 21 2
16 20 2
18 20 2
17 21 2
16 19 1
2 5 2
8 11 2
11 14 1
5 7 2
11 14 2
23 2 1
21 1 1
22 2 1
2 4 2
2 3 1
2 5 2
2 4 2
10 13 1
3 5 1
17 20 2
12 16 1
9 12 1
6 11 1
15 17 2
6 8 2
21 23 2
9 12 2
6 10 1
10 13 2
15 19 1
23 3 2
15 17 2
22 1 1
12 17 1
15 18 2
5 10 1
3 6 1
11 16 2
18 20 1
22 3 1
14 17 1
4 6 2
1 3 2
1 4 1
9 14 2
7 12 1
17 20 1
22 2 1
18 22 1
14 18 2
0 2 1
23 2 2
19 23 2
13 16 2
10 13 1
12 16 1
4 7 2
6 8 1
17 21 2
11 12 1
7 10 1
20 22 1
2 6 1
5 8 1
5 10 2
7 11 1
4 7 2
12 13 2
15 18 2
5 7 1
10 12 1
0 5 2
6 9 2
4 6 1
0 5 1
20 0 1
0 3 2
5 7 2
1 5 1
11 14 2
4 5 1
12 15 2
19 21 1
3 7 1
4 5 1
5 7 2
14 17 2
12 15 1
16 18 2
6 9 2
2 5 2
22 23 2
4 9 1
1 3 1
23 2 2
19 22 2
20 0 1
17 20 2
14 16 1
11 16 2
11 14 1
22 1 2
15 19 2
5 6 1
12 16 2
13 15 2
21 0 2
19 23 1
20 1 2
2 6 1
19 23 2
3 4 1
7 10 2
19 22 2
1 3 2
3 5 1
16 19 1
22 0 2
7 11 1
16 20 2
3 6 2
8 12 1
3 6 2
14 16 2
0 3 2
7 9 1
21 23 2
10 14 2
21 0 1
9 12 2
20 23 2
7 9 2
23 3 1
12 16 1
3 6 1
21 0 2
12 15 1
8 10 2
6 8 2
6 9 1
16 19 1
19 21 2
9 11 2
0 1 2
11 13 1
3 6 1
23 2 1
5 6 2
3 6 2
5 8 2
12 16 1
4 8 1
21 1 2
5 6 1
10 12 2
9 14 1
4 6 1
20 21 1
9 12 1
6 9 2
16 19 2
18 20 1
9 13 1
8 10 2
22 1 1
8 12 2
14 17 1
2 5 1
22 1 2
12 15 2
18 21 1
10 12 2
0 3 2
4 9 2
8 10 1
3 8 1
3 6 1
1 4 2
18 22 1
21 0 1
4 8 2
1 4 1
18 19 2
