600 3
7 9 10 
16 18 1
20 23 3
1 5 1
18 22 3
2 6 1
19 21 2
7 10 3
1 4 1
5 9 3
7 9 1
20 22 2
10 13 1
19 23 1
21 0 1
21 1 3
14 17 3
20 23 1
3 5 3
0 4 2
6 10 2
13 15 3
7 11 1
21 0 1
9 12 1
18 20 3
1 4 1
6 10 3
16 19 2
19 23 3
10 14 1
22 2 3
14 16 2
1 2 3
16 19 3
0 2 3
8 10 1
12 15 2
11 15 2
23 2 3
20 0 1
2 5 3
15 16 3
2 6 3
16 21 1
3 7 1
17 20 3
11 14 2
0 2 1
12 16 3
8 12 1
3 6 1
13 15 2
19 22 3
7 11 2
18 20 2
18 23 2
6 10 3
0 3 2
15 17 2
13 17 2
3 6 3
20 0 3
19 22 1
12 16 3
8 11 2
11 12 2
16 19 1
1 3 2
18 21 1
2 6 3
5 7 2
23 2 1
16 19 1
6 10 2
0 3 2
12 15 3
14 17 2
13 16 1
18 21 2
7 11 2
8 12 1
0 5 3
1 4 2
21 23 2
2 4 3
23 2 1
18 0 1
8 9 3
11 13 2
20 0 3
13 18 3
8 10 2
7 9 2
14 17 2
17 20 3
1 4 2
16 20 2
13 16 1
0 4 3
0 3 3
5 8 3
21 0 1
1 4 3
3 7 1
23 1 1
4 6 1
8 12 1
22 2 1
22 23 1
9 13 2
17 21 1
0 2 3
13 16 3
4 10 3
11 14 3
3 5 2
22 2 2
8 13 2
15 18 2
21 1 1
22 2 2
11 16 2
17 20 1
8 12 2
20 23 3
17 21 3
10 14 1
20 23 2
19 21 2
12 14 1
22 23 1
10 13 1
18 20 2
17 21 1
23 1 3
13 16 2
13 17 1
21 23 3
11 14 2
10 12 1
5 9 1
10 15 2
11 14 1
3 5 1
23 3 1
2 7 1
19 22 1
14 17 2
19 23 3
10 13 2
4 7 3
20 23 1
12 15 2
19 21 2
23 3 1
5 6 1
6 9 3
7 12 3
8 11 1
0 3 3
11 13 1
3 6 2
9 14 1
1 3 3
20 23 2
2 5 1
13 15 1
9 12 3
4 7 2
8 11 3
6 9 2
22 23 2
4 6 2
20 0 3
22 2 1
6 9 2
1 3 1
20 22 3
16 19 2
7 11 1
22 1 2
2 4 2
14 17 1
18 22 2
16 18 3
9 12 3
7 11 1
2 4 2
8 12 2
6 10 2
21 0 3
20 23 1
19 0 1
0 4 3
8 9 3
14 17 3
13 16 1
5 8 1
23 1 3
17 20 2
5 8 2
18 20 2
11 14 2
18 20 1
1 5 1
8 12 3
4 8 3
17 21 3
20 23 2
16 20 1
13 14 3
5 8 2
8 11 2
1 5 3
20 22 2
14 15 2
8 12 2
12 16 3
4 8 1
19 23 2
15 19 1
21 0 1
19 19 1
18 21 2
6 9 3
8 9 1
15 17 1
21 1 1
7 12 1
19 21 2
17 21 1
17 19 2
22 2 3
8 10 3
21 1 2
5 7 2
7 10 3
15 17 2
3 6 1
18 21 2
13 15 3
19 23 1
22 0 2
23 3 1
7 11 2
7 10 2
18 21 3
9 11 3
20 0 1
20 0 3
2 5 2
17 18 3
20 23 3
23 2 3
12 16 2
7 10 2
4 7 1
23 1 2
9 13 2
7 10 1
16 20 1
18 22 1
11 14 1
1 6 3
16 20 3
5 7 1
16 19 2
1 4 3
3 4 1
11 14 3
14 19 3
23 1 2
23 1 3
16 20 3
5 9 3
21 0 1
16 19 1
12 16 2
4 7 2
8 10 2
0 3 1
2 4 3
15 16 3
8 12 1
18 21 2
11 12 1
20 0 2
6 9 3
13 17 2
19 22 3
19 23 2
1 3 3
8 13 1
20 22 1
13 16 3
4 7 2
22 2 2
23 2 1
2 4 3
10 14 2
5 9 3
16 19 3
16 19 2
6 9 3
17 22 3
8 10 1
14 18 3
13 16 2
5 8 1
2 4 1
16 18 1
7 10 1
2 5 2
11 14 2
8 11 3
17 20 3
4 7 1
16 19 3
23 1 3
9 13 1
20 0 1
19 23 1
13 17 1
21 1 3
9 14 1
9 12 2
5 9 3
2 5 1
3 6 1
0 2 2
22 0 2
20 0 1
2 6 2
8 10 3
4 7 1
17 21 1
6 10 3
11 14 1
20 0 1
14 17 1
6 9 1
12 15 3
21 23 1
6 8 2
19 21 1
5 7 3
2 5 2
23 3 3
1 4 3
17 21 3
23 1 2
20 22 3
7 10 2
15 18 3
18 20 1
19 21 3
4 7 3
17 20 1
19 22 1
11 14 3
16 19 1
18 22 2
5 9 3
21 0 1
22 0 2
22 2 1
6 8 2
4 5 1
10 14 2
18 22 1
9 12 1
4 7 2
18 22 3
1 4 3
23 2 3
9 10 1
3 7 1
9 11 3
18 20 3
23 2 3
0 3 3
0 4 1
0 2 2
15 18 3
23 2 2
18 21 3
13 15 2
6 10 1
20 23 2
11 15 3
22 2 2
7 10 1
16 21 2
16 18 2
13 16 1
20 23 1
8 10 1
19 23 3
9 12 1
15 17 1
20 0 1
10 15 3
19 21 3
23 4 3
11 15 1
5 6 1
11 14 3
5 9 2
13 15 1
0 3 1
11 14 2
23 3 2
19 21 3
22 1 3
19 21 2
16 19 3
9 13 1
21 1 1
10 14 1
11 14 1
8 12 2
14 17 3
9 13 2
13 17 2
15 19 3
21 1 3
2 3 1
11 13 2
23 1 1
6 10 3
23 3 2
8 11 2
0 3 2
17 20 3
11 13 1
14 19 2
18 20 2
9 13 3
15 18 3
6 8 1
8 11 3
16 18 2
9 12 3
23 3 3
13 16 2
4 7 3
14 18 3
19 0 3
21 2 2
6 10 1
5 9 3
15 20 1
2 3 3
14 15 2
13 16 1
0 1 2
14 16 3
6 8 1
8 11 1
13 18 1
13 18 3
9 11 1
12 14 2
0 4 3
4 8 2
23 1 2
12 14 1
13 15 3
1 4 2
13 16 2
12 15 3
22 0 1
4 7 2
3 5 3
12 16 2
4 7 1
11 13 2
15 19 2
8 11 2
9 12 1
1 5 3
6 11 3
21 0 2
17 20 3
18 21 2
12 14 2
12 17 2
5 7 3
17 19 3
0 2 1
20 23 1
15 20 1
5 8 2
13 16 1
5 9 1
1 5 3
21 1 2
4 7 3
5 8 3
19 21 1
12 15 3
22 3 3
11 15 2
17 21 2
22 2 3
3 6 3
15 17 3
12 14 3
1 3 1
15 20 3
13 14 2
0 4 3
21 0 2
6 9 3
13 18 3
7 9 2
12 14 1
21 0 2
7 10 1
11 15 3
5 10 1
14 19 2
20 23 1
17 20 1
17 20 2
8 11 1
0 3 2
0 4 1
23 2 2
13 16 2
15 18 3
3 7 3
18 20 1
2 6 2
21 23 3
20 0 2
19 23 3
23 1 3
1 5 1
8 12 2
9 11 3
3 4 1
1 5 3
2 4 2
3 6 1
2 6 3
6 10 3
19 21 1
3 7 3
6 8 2
15 18 3
5 8 2
9 13 3
16 18 2
23 5 2
20 22 2
13 17 2
6 9 1
8 10 3
23 2 3
7 11 2
7 11 3
19 1 1
0 2 1
10 11 2
14 16 3
20 21 1
13 17 1
13 17 2
14 18 2
3 6 1
6 10 1
19 23 1
2 3 3
20 22 3
4 8 2
20 22 3
16 21 1
18 21 3
7 11 3
9 13 1
5 7 2
13 16 1
22 2 3
3 6 3
3 7 1
10 13 2
14 16 3
16 19 3
7 11 1
22 23 2
8 11 2
6 8 3
4 7 1
13 16 2
7 8 3
0 4 2
20 1 2
12 14 1
11 13 3
