100 3
9 5 20 
11 15 2
4 6 3
15 20 3
8 10 1
6 8 1
21 1 2
7 10 2
0 4 3
21 1 2
5 8 1
17 21 3
22 1 1
11 13 1
21 0 3
16 19 1
19 22 2
19 19 3
14 16 1
8 10 1
14 18 1
0 3 3
0 4 2
6 11 3
10 15 3
17 20 2
14 18 3
21 23 2
0 3 1
22 0 1
4 7 2
5 9 3
1 5 1
9 12 1
3 6 1
14 16 2
8 11 3
3 6 1
20 23 2
8 11 2
14 17 2
17 19 2
7 10 1
4 7 3
4 8 3
21 0 2
19 23 3
20 23 1
14 16 2
19 21 1
13 16 3
12 15 1
10 13 2
3 7 2
8 11 3
6 9 1
22 1 3
2 4 3
8 11 2
3 6 3
15 18 3
8 10 2
10 14 3
15 18 2
10 14 2
18 21 3
12 14 2
1 5 3
12 15 2
17 20 3
18 20 3
19 20 3
7 11 3
16 18 3
20 0 2
11 15 3
6 8 1
7 10 1
0 3 1
4 6 2
11 12 3
13 18 2
16 19 2
2 5 1
21 0 1
16 19 1
4 7 1
5 7 2
1 3 3
6 9 2
23 3 3
18 21 1
1 4 3
9 11 3
21 23 1
17 21 3
14 18 1
14 17 1
4 7 3
21 0 1
1 5 3
